Model,Condition,Threshold,Recall,Precision,F1,TP,FN,FP,TN,Clean Recall,Recall Drop,Envelope Met
Pedestrian,Contrast S3,0.3,0.07932011331444759,0.6666666666666666,0.14177215189873418,56,650,28,2866,0.6430594900849859,0.5637393767705383,False
Pedestrian,Contrast S3,0.4,0.06657223796033994,0.6714285714285714,0.12113402061855669,47,659,23,2871,0.5835694050991501,0.5169971671388102,False
Pedestrian,Contrast S3,0.5,0.05240793201133145,0.6271186440677966,0.09673202614379087,37,669,22,2872,0.509915014164306,0.45750708215297453,False
Pedestrian,Contrast S3,0.6,0.042492917847025496,0.6,0.07936507936507937,30,676,20,2874,0.45609065155807366,0.41359773371104813,False
Pedestrian,Contrast S3,0.7,0.026912181303116147,0.8636363636363636,0.0521978021978022,19,687,3,2891,0.4093484419263456,0.3824362606232295,False
Pedestrian,Contrast S3,0.8,0.0169971671388102,1.0,0.033426183844011144,12,694,0,2894,0.35410764872521244,0.3371104815864022,False
Pedestrian,Contrast S3,0.9,0.012747875354107648,1.0,0.025174825174825173,9,697,0,2894,0.2776203966005666,0.26487252124645894,False
Pedestrian,Noise S1,0.01,0.9844192634560907,0.202211230724469,0.3355056722181994,695,11,2742,152,0.9815864022662889,-0.0028328611898017497,True
Pedestrian,Noise S1,0.05,0.9150141643059491,0.2316242380781642,0.36967095851216025,646,60,2143,751,0.9050991501416431,-0.009915014164305958,True
Pedestrian,Noise S1,0.1,0.8555240793201133,0.25517532741867344,0.3931012040351448,604,102,1763,1131,0.8512747875354107,-0.004249291784702569,True
Pedestrian,Noise S1,0.2,0.7337110481586402,0.2915025323579066,0.41723721304873135,518,188,1259,1635,0.7252124645892352,-0.008498583569405027,True
Pedestrian,Noise S1,0.3,0.6189801699716714,0.31828113619810633,0.4203944203944204,437,269,936,1958,0.6430594900849859,0.024079320113314484,True
Pedestrian,Noise S1,0.4,0.5226628895184136,0.3300536672629696,0.4046052631578947,369,337,749,2145,0.5835694050991501,0.060906515580736564,True
Pedestrian,Noise S1,0.5,0.4447592067988669,0.34543454345434543,0.38885448916408666,314,392,595,2299,0.509915014164306,0.06515580736543908,True
Pedestrian,Noise S1,0.6,0.3881019830028329,0.3789764868603043,0.38348495451364584,274,432,449,2445,0.45609065155807366,0.06798866855524077,True
Pedestrian,Noise S1,0.7,0.3385269121813031,0.4314079422382672,0.3793650793650793,239,467,315,2579,0.4093484419263456,0.07082152974504252,True
Pedestrian,Noise S1,0.8,0.29603399433427763,0.5072815533980582,0.3738819320214669,209,497,203,2691,0.35410764872521244,0.058073654390934815,True
Pedestrian,Noise S1,0.9,0.22662889518413598,0.5574912891986062,0.3222557905337361,160,546,127,2767,0.2776203966005666,0.05099150141643061,True
Pedestrian,Noise S2,0.01,1.0,0.19611111111111112,0.32791453785415703,706,0,2894,0,0.9815864022662889,-0.018413597733711096,True
Pedestrian,Noise S2,0.05,0.9929178470254958,0.1979107848673066,0.3300376647834275,701,5,2841,53,0.9050991501416431,-0.08781869688385269,True
